,Generation,Index
465,16,407
466,16,566
467,16,429
468,16,456
469,16,590
470,16,411
471,16,599
472,16,471
473,16,539
474,16,603
475,16,497
476,16,605
477,16,422
478,16,505
479,16,606
480,17,634
481,17,575
482,17,471
483,17,614
484,17,394
485,17,520
486,17,555
487,17,578
488,17,564
489,17,394
490,17,616
491,17,580
492,17,633
493,17,561
494,17,578
495,17,407
496,17,631
497,17,612
498,17,456
499,17,590
500,17,411
501,17,599
502,17,471
503,17,618
504,17,603
505,17,619
506,17,605
507,17,422
508,17,629
509,17,635
510,18,634
511,18,575
512,18,471
513,18,614
514,18,394
515,18,520
516,18,555
517,18,578
518,18,564
519,18,394
520,18,616
521,18,645
522,18,633
523,18,575
524,18,578
525,18,407
526,18,631
527,18,663
528,18,644
529,18,590
530,18,639
531,18,599
532,18,471
533,18,618
534,18,603
535,18,619
536,18,605
537,18,662
538,18,650
539,18,471
540,19,634
541,19,575
542,19,471
543,19,614
544,19,394
545,19,679
546,19,555
547,19,691
548,19,564
549,19,394
550,19,616
551,19,645
552,19,633
553,19,575
554,19,578
555,19,674
556,19,631
557,19,666
558,19,644
559,19,590
560,19,614
561,19,687
562,19,471
563,19,618
564,19,603
565,19,394
566,19,605
567,19,662
568,19,650
569,19,471
570,20,634
571,20,575
572,20,471
573,20,614
574,20,394
575,20,721
576,20,705
577,20,692
578,20,564
579,20,394
580,20,708
581,20,645
582,20,633
583,20,575
584,20,696
585,20,674
586,20,631
587,20,666
588,20,644
589,20,590
590,20,614
591,20,687
592,20,471
593,20,618
594,20,603
595,20,394
596,20,605
597,20,662
598,20,650
599,20,471
600,21,634
601,21,575
602,21,471
603,21,614
604,21,724
605,21,564
606,21,705
607,21,692
608,21,564
609,21,471
610,21,708
611,21,645
612,21,633
613,21,575
614,21,696
615,21,674
616,21,631
617,21,666
618,21,644
619,21,727
620,21,614
621,21,728
622,21,471
623,21,618
624,21,603
625,21,730
626,21,605
627,21,731
628,21,732
629,21,471
630,22,722
631,22,575
632,22,723
633,22,614
634,22,724
635,22,725
636,22,705
637,22,692
638,22,726
639,22,614
640,22,724
641,22,645
642,22,633
643,22,575
644,22,696
645,22,674
646,22,631
647,22,666
648,22,644
649,22,727
650,22,614
651,22,728
652,22,729
653,22,618
654,22,603
655,22,730
656,22,605
657,22,731
658,22,732
659,22,471
660,23,722
661,23,575
662,23,723
663,23,614
664,23,724
665,23,725
666,23,705
667,23,692
668,23,726
669,23,614
670,23,724
671,23,645
672,23,633
673,23,575
674,23,696
675,23,674
676,23,771
677,23,666
678,23,644
679,23,727
680,23,614
681,23,728
682,23,741
683,23,618
684,23,603
685,23,730
686,23,774
687,23,731
688,23,732
689,23,751
690,24,723
691,24,796
692,24,723
693,24,805
694,24,724
695,24,725
696,24,705
697,24,692
698,24,726
699,24,809
700,24,724
701,24,645
702,24,633
703,24,800
704,24,801
705,24,633
706,24,771
707,24,666
708,24,644
709,24,803
710,24,614
711,24,728
712,24,741
713,24,618
714,24,603
715,24,730
716,24,723
717,24,731
718,24,732
719,24,751
720,25,823
721,25,796
722,25,826
723,25,805
724,25,724
725,25,725
726,25,705
727,25,692
728,25,726
729,25,811
730,25,724
731,25,645
732,25,633
733,25,800
734,25,801
735,25,633
736,25,771
737,25,666
738,25,644
739,25,803
740,25,835
741,25,728
742,25,741
743,25,618
744,25,603
745,25,730
746,25,831
747,25,851
748,25,732
749,25,751
750,26,823
751,26,796
752,26,826
753,26,805
754,26,724
755,26,823
756,26,826
757,26,692
758,26,888
759,26,811
760,26,724
761,26,645
762,26,878
763,26,800
764,26,801
765,26,882
766,26,771
767,26,666
768,26,644
769,26,803
770,26,835
771,26,865
772,26,886
773,26,618
774,26,603
775,26,858
776,26,831
777,26,854
778,26,732
779,26,751
780,27,922
781,27,796
782,27,826
783,27,805
784,27,724
785,27,823
786,27,826
787,27,692
788,27,645
789,27,811
790,27,724
791,27,645
792,27,878
793,27,800
794,27,801
795,27,882
796,27,771
797,27,666
798,27,644
799,27,803
800,27,835
801,27,865
802,27,886
803,27,618
804,27,603
805,27,858
806,27,831
807,27,692
808,27,732
809,27,751
810,28,932
811,28,796
812,28,959
813,28,805
814,28,724
815,28,947
816,28,826
817,28,692
818,28,645
819,28,946
820,28,724
821,28,645
822,28,878
823,28,800
824,28,801
825,28,951
826,28,800
827,28,666
828,28,942
829,28,803
830,28,835
831,28,865
832,28,886
833,28,618
834,28,603
835,28,858
836,28,805
837,28,692
838,28,732
839,28,751
840,29,932
841,29,796
842,29,962
843,29,805
844,29,800
845,29,947
846,29,972
847,29,692
848,29,645
849,29,998
850,29,991
851,29,645
852,29,878
853,29,800
854,29,801
855,29,1002
856,29,800
857,29,666
858,29,974
859,29,803
860,29,835
861,29,865
862,29,982
863,29,618
864,29,603
865,29,858
866,29,805
867,29,692
868,29,732
869,29,751
870,30,932
871,30,796
872,30,962
873,30,1022
874,30,1048
875,30,947
876,30,972
877,30,692
878,30,645
879,30,998
880,30,991
881,30,645
882,30,1038
883,30,1051
884,30,801
885,30,1002
886,30,800
887,30,666
888,30,1043
889,30,803
890,30,835
891,30,865
892,30,982
893,30,618
894,30,603
895,30,1005
896,30,645
897,30,692
898,30,732
899,30,751
900,31,932
901,31,1094
902,31,1025
903,31,1022
904,31,1048
905,31,947
906,31,972
907,31,692
908,31,645
909,31,998
910,31,991
911,31,645
912,31,1038
913,31,1066
914,31,801
915,31,1071
916,31,1068
917,31,666
918,31,1043
919,31,1102
920,31,835
921,31,865
922,31,982
923,31,618
924,31,603
925,31,1005
926,31,645
927,31,692
928,31,732
929,31,751
930,32,932
931,32,1146
932,32,1025
933,32,1022
934,32,1048
935,32,1140
936,32,1147
937,32,692
938,32,645
939,32,998
940,32,991
941,32,645
942,32,1139
943,32,1066
944,32,1123
945,32,1071
946,32,1068
947,32,666
948,32,1043
949,32,1102
950,32,1105
951,32,865
952,32,1138
953,32,618
954,32,1151
955,32,1005
956,32,645
957,32,692
958,32,732
959,32,751
960,33,1182
961,33,1196
962,33,1174
963,33,1022
964,33,1048
965,33,1140
966,33,1147
967,33,692
968,33,645
969,33,998
970,33,1199
971,33,645
972,33,1178
973,33,1066
974,33,1123
975,33,1071
976,33,1068
977,33,1166
978,33,1043
979,33,1102
980,33,1193
981,33,865
982,33,1138
983,33,618
984,33,1157
985,33,1005
986,33,645
987,33,692
988,33,732
989,33,751
990,34,1217
991,34,1196
992,34,1174
993,34,1215
994,34,1048
995,34,1140
996,34,1147
997,34,692
998,34,645
999,34,998
1000,34,1200
1001,34,645
1002,34,1178
1003,34,1066
1004,34,1123
1005,34,1237
1006,34,1068
1007,34,1166
1008,34,1220
1009,34,1102
1010,34,1193
1011,34,865
1012,34,1138
1013,34,618
1014,34,1213
1015,34,1005
1016,34,645
1017,34,692
1018,34,732
1019,34,751
1020,35,1262
1021,35,998
1022,35,1273
1023,35,1215
1024,35,1048
1025,35,1140
1026,35,1250
1027,35,998
1028,35,645
1029,35,998
1030,35,1200
1031,35,645
1032,35,1178
1033,35,1066
1034,35,998
1035,35,1240
1036,35,1068
1037,35,1166
1038,35,1256
1039,35,1102
1040,35,1193
1041,35,865
1042,35,1200
1043,35,1253
1044,35,1213
1045,35,1242
1046,35,645
1047,35,1266
1048,35,1244
1049,35,1246
1050,36,1262
1051,36,998
1052,36,1281
1053,36,1215
1054,36,1048
1055,36,1140
1056,36,1250
1057,36,998
1058,36,1302
1059,36,998
1060,36,1200
1061,36,1281
1062,36,1178
1063,36,1311
1064,36,998
1065,36,1240
1066,36,1066
1067,36,1166
1068,36,1256
1069,36,1102
1070,36,1193
1071,36,1284
1072,36,1200
1073,36,1253
1074,36,1307
1075,36,1242
1076,36,1305
1077,36,1250
1078,36,1244
1079,36,1246
1080,37,1262
1081,37,998
1082,37,1281
1083,37,1215
1084,37,1048
1085,37,1140
1086,37,1250
1087,37,998
1088,37,1302
1089,37,998
1090,37,1200
1091,37,1281
1092,37,1178
1093,37,1313
1094,37,998
1095,37,1240
1096,37,1312
1097,37,1316
1098,37,1256
1099,37,1102
1100,37,1351
1101,37,1284
1102,37,1200
1103,37,1253
1104,37,1307
1105,37,1242
1106,37,1307
1107,37,1250
1108,37,1244
1109,37,1307
1110,38,1262
1111,38,1354
1112,38,1281
1113,38,1215
1114,38,1048
1115,38,1140
1116,38,1250
1117,38,1357
1118,38,1302
1119,38,1364
1120,38,1200
1121,38,1281
1122,38,1178
1123,38,1313
1124,38,1397
1125,38,1240
1126,38,1312
1127,38,1316
1128,38,1256
1129,38,1102
1130,38,1351
1131,38,1284
1132,38,1200
1133,38,1253
1134,38,1307
1135,38,1242
1136,38,1307
1137,38,1250
1138,38,1244
1139,38,1307
1140,39,1405
1141,39,1354
1142,39,1281
1143,39,1215
1144,39,1048
1145,39,1140
1146,39,1250
1147,39,1357
1148,39,1402
1149,39,1364
1150,39,1415
1151,39,1281
1152,39,1178
1153,39,1313
1154,39,1417
1155,39,1438
1156,39,1412
1157,39,1316
1158,39,1256
1159,39,1102
1160,39,1413
1161,39,1284
1162,39,1441
1163,39,1419
1164,39,1307
1165,39,1242
1166,39,1307
1167,39,1250
1168,39,1244
1169,39,1307
1170,40,1405
1171,40,1481
1172,40,1281
1173,40,1215
1174,40,1462
1175,40,1468
1176,40,1250
1177,40,1445
1178,40,1402
1179,40,1477
1180,40,1486
1181,40,1281
1182,40,1178
1183,40,1313
1184,40,1417
1185,40,1434
1186,40,1412
1187,40,1316
1188,40,1256
1189,40,1102
1190,40,1466
1191,40,1284
1192,40,1475
1193,40,1419
1194,40,1307
1195,40,1471
1196,40,1307
1197,40,1250
1198,40,1244
1199,40,1307
1200,41,1405
1201,41,1481
1202,41,1499
1203,41,1215
1204,41,1462
1205,41,1468
1206,41,1250
1207,41,1499
1208,41,1402
1209,41,1477
1210,41,1486
1211,41,1515
1212,41,1178
1213,41,1313
1214,41,1417
1215,41,1434
1216,41,1522
1217,41,1316
1218,41,1256
1219,41,1500
1220,41,1466
1221,41,1527
1222,41,1475
1223,41,1419
1224,41,1307
1225,41,1498
1226,41,1307
1227,41,1250
1228,41,1244
1229,41,1307
1230,42,1405
1231,42,1354
1232,42,1281
1233,42,1215
1234,42,1281
1235,42,2263
1236,42,1250
1237,42,2264
1238,42,1402
1239,42,1364
1240,42,1415
1241,42,1281
1242,42,1178
1243,42,1313
1244,42,1417
1245,42,1281
1246,42,1412
1247,42,1316
1248,42,1256
1249,42,1102
1250,42,1586
1251,42,1284
1252,42,1441
1253,42,1419
1254,42,1307
1255,42,1242
1256,42,1307
1257,42,1250
1258,42,1244
1259,42,1307
1260,43,1405
1261,43,1481
1262,43,1499
1263,43,1215
1264,43,1462
1265,43,1468
1266,43,1250
1267,43,1499
1268,43,1573
1269,43,1477
1270,43,1557
1271,43,1515
1272,43,1541
1273,43,1313
1274,43,1417
1275,43,1434
1276,43,1547
1277,43,1316
1278,43,1256
1279,43,1500
1280,43,1466
1281,43,1524
1282,43,1536
1283,43,1419
1284,43,1307
1285,43,1498
1286,43,1307
1287,43,1250
1288,43,1244
1289,43,1307
1290,44,1405
1291,44,2265
1292,44,1281
1293,44,1215
1294,44,1281
1295,44,1276
1296,44,1250
1297,44,2264
1298,44,1402
1299,44,1579
1300,44,2266
1301,44,1281
1302,44,1178
1303,44,1313
1304,44,1417
1305,44,1281
1306,44,1412
1307,44,1316
1308,44,1256
1309,44,2267
1310,44,1586
1311,44,1284
1312,44,2268
1313,44,1419
1314,44,1307
1315,44,2269
1316,44,1307
1317,44,1250
1318,44,1244
1319,44,1307
1320,45,1405
