,0,1,2,3,4,5,6,7,8,9,10
0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
1,-3.91,-0.0,-0.0,-4.5,0.89,5.98,-5.6,-3.56,-0.0,-7.0,-7.7
2,8.57,8.59,3.93,-6.46,6.64,7.76,-4.19,-3.56,-0.31,-7.0,-9.25
3,1.82,-0.0,-0.0,-8.77,-0.0,-0.0,0.0,-3.56,-0.0,-9.08,0.0
4,1.82,-0.0,-0.0,-8.77,-0.0,-0.0,0.0,-3.56,-0.0,-9.08,-7.81
5,-3.91,-0.0,-0.0,8.65,0.89,5.98,-7.43,-8.92,-0.0,-7.0,-7.7
6,8.57,8.59,3.93,-6.46,0.89,7.76,-4.19,-3.56,-5.3,-7.0,-7.7
7,1.82,-3.77,9.66,-3.31,-5.79,-0.0,0.0,9.39,-0.0,-6.28,0.0
8,1.82,-3.77,9.66,-6.67,-9.14,-0.0,0.0,9.39,-0.0,-9.08,0.0
9,0.39,8.59,-0.23,-6.46,0.89,7.76,-4.19,-1.52,-5.3,-7.0,-7.7
10,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-3.56,-0.31,-7.0,-9.25
11,8.57,8.59,3.93,-6.46,6.64,7.76,-4.19,0.0,-0.0,-0.0,0.0
12,8.57,-0.0,3.93,-6.46,-0.0,7.76,0.0,0.0,-0.0,-0.0,0.0
13,0.0,8.59,-0.0,0.0,6.64,-7.075343242573631,-4.19,-3.56,-0.31,-7.0,-9.25
14,8.57,8.59,-0.0,-6.46,6.64,7.76,0.0,-5.074584924313477,-0.0,-7.0,0.0
15,1.82,-0.0,3.93,-8.77,-0.0,-0.0,-4.19,6.015765083960009,-0.31,-9.08,-9.25
16,1.82,-0.0,9.758150839437288,-8.77,-0.0,-0.0,0.0,-3.56,-0.0,-9.08,0.0
17,1.82,-0.0,-0.0,-8.77,-0.0,9.14601856604887,0.0,-3.56,-0.0,-9.08,0.0
18,1.82,-0.0,-0.0,-8.77,-0.0,-0.0,0.0,-3.56,-0.0,5.581886169623786,-7.81
19,1.82,5.8879802219422395,-0.0,-8.77,-0.0,-0.0,0.0,-3.56,-7.404894333444892,-9.08,0.0
20,0.0,-0.0,9.758150839437288,0.0,-0.0,-0.0,0.0,0.0,8.425229459708042,-0.0,0.0
21,1.82,-0.0,-0.0,-8.77,-0.0,-0.0,8.730347889545879,-3.56,-0.0,-9.08,0.0
22,1.82,-0.0,-0.0,-8.77,-0.0,-0.0,-0.3008884925846793,-3.56,-0.0,-9.08,0.0
23,0.0,-0.0,-0.0,0.0,0.5251693257052032,8.028600015995636,0.0,-3.56,-0.0,-9.08,0.0
24,1.82,-0.0,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
25,1.82,-0.0,9.758150839437288,-8.77,-0.0,-7.596901310089947,0.0,-3.56,-0.0,-9.08,0.0
26,0.0,-0.0,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
27,1.82,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
28,1.82,-0.0,9.758150839437288,-8.77,-0.0,-0.0,0.0,-6.160839515449896,-0.0,-0.0,0.0
29,0.0,-0.0,9.758150839437288,-8.77,-4.128651034742794,-0.0,0.0,0.0,-0.0,-0.0,0.0
30,0.0,-0.0,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,-0.0,4.380000860316343,0.0
31,1.82,-0.0,-0.0,0.0,-0.0,-0.0,-2.0190979541553062,0.0,-4.2354551457422085,-0.0,-9.749915857887464
32,1.82,-0.0,9.758150839437288,-8.77,-4.905721503365223,-0.0,0.0,0.0,-0.0,-0.0,0.0
33,1.82,-0.0,9.758150839437288,-8.77,-0.0,-0.0,-2.731544401170723,0.0,-0.0,-0.0,0.0
34,0.0,-0.0,9.758150839437288,6.741752065949186,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
35,1.82,-0.0,9.758150839437288,-8.77,-0.0,-0.0,-2.3841878697957464,0.0,-0.0,-0.0,0.0
36,1.82,-0.0,9.758150839437288,-8.77,-8.439439075965465,-0.0,0.0,0.0,5.816234794351271,-0.0,0.0
37,1.82,-0.0,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,0.74295557181056,-0.0,0.0
38,1.82,-0.0,9.758150839437288,-8.77,6.679009591999314,-5.745030080066133,6.494103615752159,0.0,-0.0,-0.0,0.0
39,1.82,1.006625109057616,3.537164044035068,-8.77,-0.0,-0.0,0.0,0.0,4.698492661353079,-0.0,0.0
40,0.0,-0.0,9.758150839437288,-6.44559634406389,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
41,1.82,-0.0,9.758150839437288,-8.77,-0.0,-0.0,-7.857267047626635,0.0,-0.0,-0.0,0.0
42,1.82,-0.0,9.758150839437288,-8.77,-0.0,-0.0,0.0,-2.7460723734681665,4.376422642341382,-0.0,0.0
43,0.0,-0.0,9.758150839437288,-8.77,-0.0,-0.0,-7.857267047626635,0.0,-0.0,-0.0,0.0
44,1.82,-0.0,9.758150839437288,-8.77,-0.0,-0.0,-8.148131679654444,0.0,-0.0,-0.0,0.0
45,0.0,-0.0,9.758150839437288,-8.77,-8.71611902345711,-0.0,-4.192044568713511,0.0,-2.558198139391042,-4.537770000740704,0.0
